['3563', 'Sen. Hoeven, John [R-ND]', 'ND', 'Public Lands and Natural Resources']
['264', 'Sen. Cochran, Thad [R-MS]', 'MS', 'Public Lands and Natural Resources']
['684', 'Sen. Johnson, Tim [D-SD]', 'SD', 'Water Resources Development']
['1800', 'Sen. Barrasso, John [R-WY]', 'WY', 'Water Resources Development']
['354', 'Sen. Wyden, Ron [D-OR]', 'OR', 'Public Lands and Natural Resources']
['609', 'Sen. Udall, Tom [D-NM]', 'NM', 'Public Lands and Natural Resources']
['363', 'Sen. Wyden, Ron [D-OR]', 'OR', 'Public Lands and Natural Resources']
['311', 'Sen. Landrieu, Mary L. [D-LA]', 'LA', 'Public Lands and Natural Resources']
['2673', 'Sen. Boxer, Barbara [D-CA]', 'CA', 'International Affairs']
['1237', 'Sen. Wyden, Ron [D-OR]', 'OR', 'Public Lands and Natural Resources']
['3008', 'Sen. Whitehouse, Sheldon [D-RI]', 'RI', 'Armed Forces and National Security']
['2759', 'Sen. McCaskill, Claire [D-MO]', 'MO', 'Transportation and Public Works']
['2651', 'Sen. Coburn, Tom [R-OK]', 'OK', 'Government Operations and Politics']
['2521', 'Sen. Carper, Thomas R. [D-DE]', 'DE', 'Government Operations and Politics']
['2519', 'Sen. Carper, Thomas R. [D-DE]', 'DE', 'Government Operations and Politics']
['2444', 'Sen. Begich, Mark [D-AK]', 'AK', 'Transportation and Public Works']
['2338', 'Sen. Rockefeller, John D., IV [D-WV]', 'WV', 'Sports and Recreation']
['2270', 'Sen. Collins, Susan M. [R-ME]', 'ME', 'Finance and Financial Sector']
['2142', 'Sen. Menendez, Robert [D-NJ]', 'NJ', 'International Affairs']
['1691', 'Sen. Tester, Jon [D-MT]', 'MT', 'Government Operations and Politics']
['1683', 'Sen. Menendez, Robert [D-NJ]', 'NJ', 'International Affairs']
['1474', 'Sen. Begich, Mark [D-AK]', 'AK', 'Native Americans']
['3084', 'Sen. Gardner, Cory [R-CO]', 'CO', 'Science, Technology, Communications']
['1576', 'Sen. Lankford, James [R-OK]', 'OK', 'Government Operations and Politics']
['2943', 'Sen. McCain, John [R-AZ]', 'AZ', 'Armed Forces and National Security']
['10', 'Sen. Scott, Tim [R-SC]', 'SC', 'Civil Rights and Liberties, Minority Issues']
['2944', 'Sen. Grassley, Chuck [R-IA]', 'IA', 'Crime and Law Enforcement']
['2916', 'Sen. Udall, Tom [D-NM]', 'NM', 'Native Americans']
['3270', 'Sen. Grassley, Chuck [R-IA]', 'IA', 'Crime and Law Enforcement']
['2658', 'Sen. Thune, John [R-SD]', 'SD', 'Transportation and Public Works']
['2555', 'Sen. Thune, John [R-SD]', 'SD', 'Science, Technology, Communications']
['1182', 'Sen. Blunt, Roy [R-MO]', 'MO', 'Science, Technology, Communications']
['421', 'Sen. Heller, Dean [R-NV]', 'NV', 'Science, Technology, Communications']
['3024', 'Sen. Vitter, David [R-LA]', 'LA', 'Commerce']
['3009', 'Sen. Shaheen, Jeanne [D-NH]', 'NH', 'Commerce']
['2992', 'Sen. Vitter, David [R-LA]', 'LA', 'Commerce']
['2847', 'Sen. Ernst, Joni [R-IA]', 'IA', 'Commerce']
['2846', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Commerce']
['2838', 'Sen. Vitter, David [R-LA]', 'LA', 'Commerce']
['2812', 'Sen. Shaheen, Jeanne [D-NH]', 'NH', 'Commerce']
['2139', 'Sen. Vitter, David [R-LA]', 'LA', 'Commerce']
['2138', 'Sen. Vitter, David [R-LA]', 'LA', 'Commerce']
['512', 'Sen. Barrasso, John [R-WY]', 'WY', 'Energy']
['1580', 'Sen. Rubio, Marco [R-FL]', 'FL', 'International Affairs']
['1158', 'Sen. Cardin, Benjamin L. [D-MD]', 'MD', 'International Affairs']
['1023', 'Sen. Portman, Rob [R-OH]', 'OH', 'International Affairs']
['3661', 'Sen. Inhofe, James M. [R-OK]', 'OK', 'Armed Forces and National Security']
['3456', 'Sen. Nelson, Bill [D-FL]', 'FL', 'Public Lands and Natural Resources']
['3247', 'Sen. Boozman, John [R-AR]', 'AR', 'International Affairs']
['1862', 'Sen. Corker, Bob [R-TN]', 'TN', 'International Affairs']
['3191', 'Sen. Jones, Doug [D-AL]', 'AL', 'Civil Rights and Liberties, Minority Issues']
['2961', 'Sen. Blunt, Roy [R-MO]', 'MO', 'Crime and Law Enforcement']
['2200', 'Sen. Thune, John [R-SD]', 'SD', 'Science, Technology, Communications']
['3777', 'Sen. Boozman, John [R-AR]', 'AR', 'Armed Forces and National Security']
['3444', 'Sen. Cassidy, Bill [R-LA]', 'LA', 'Armed Forces and National Security']
['3367', 'Sen. Thune, John [R-SD]', 'SD', 'Transportation and Public Works']
['3031', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Government Operations and Politics']
['2896', 'Sen. Kennedy, John [R-LA]', 'LA', 'Government Operations and Politics']
['2765', 'Sen. Kennedy, John [R-LA]', 'LA', 'Finance and Financial Sector']
['2679', 'Sen. Duckworth, Tammy [D-IL]', 'IL', 'Commerce']
['2652', 'Sen. Cassidy, Bill [R-LA]', 'LA', 'Sports and Recreation']
['2276', 'Sen. Young, Todd [R-IN]', 'IN', 'Government Operations and Politics']
['5076', 'Sen. Blunt, Roy [R-MO]', 'MO', 'Congress']
['371', 'Sen. Fischer, Deb [R-NE]', 'NE', 'Finance and Financial Sector']
['1310', 'Sen. Cardin, Benjamin L. [D-MD]', 'MD', 'International Affairs']
['4996', 'Sen. Graham, Lindsey [R-SC]', 'SC', 'Finance and Financial Sector']
['5086', 'Sen. Klobuchar, Amy [D-MN]', 'MN', 'Congress']
['3418', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Emergency Management']
['906', 'Sen. Feinstein, Dianne [D-CA]', 'CA', 'Public Lands and Natural Resources']
['3985', 'Sen. Scott, Tim [R-SC]', 'SC', 'Crime and Law Enforcement']
['979', 'Sen. Rubio, Marco [R-FL]', 'FL', 'Emergency Management']
['914', 'Sen. Wicker, Roger F. [R-MS]', 'MS', 'Public Lands and Natural Resources']
['461', 'Sen. Scott, Tim [R-SC]', 'SC', 'Education']
['3989', 'Sen. Toomey, Patrick [R-PA]', 'PA', 'Government Operations and Politics']
['3312', 'Sen. Cornyn, John [R-TX]', 'TX', 'Crime and Law Enforcement']
['2730', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Transportation and Public Works']
['2683', 'Sen. Burr, Richard [R-NC]', 'NC', 'Families']
['2216', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Armed Forces and National Security']
['2174', 'Sen. Cornyn, John [R-TX]', 'TX', 'Crime and Law Enforcement']
['1869', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Government Operations and Politics']
['1694', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Science, Technology, Communications']
['1342', 'Sen. Peters, Gary C. [D-MI]', 'MI', 'Public Lands and Natural Resources']
['989', 'Sen. Schatz, Brian [D-HI]', 'HI', 'Native Americans']
['5329', 'Sen. Blumenthal, Richard [D-CT]', 'CT', 'Agriculture and Food']
['5328', 'Sen. Cortez Masto, Catherine [D-NV]', 'NV', 'Agriculture and Food']
['5168', 'Sen. Padilla, Alex [D-CA]', 'CA', 'Immigration']
['5087', 'Sen. Murkowski, Lisa [R-AK]', 'AK', 'Native Americans']
['5066', 'Sen. Murkowski, Lisa [R-AK]', 'AK', 'Government Operations and Politics']
['5016', 'Sen. Murkowski, Lisa [R-AK]', 'AK', 'Armed Forces and National Security']
['4978', 'Sen. Barrasso, John [R-WY]', 'WY', 'Health']
['4949', 'Sen. Tester, Jon [D-MT]', 'MT', 'Armed Forces and National Security']
['4926', 'Sen. Cornyn, John [R-TX]', 'TX', 'Crime and Law Enforcement']
['450', 'Sen. Burr, Richard [R-NC]', 'NC', 'Civil Rights and Liberties, Minority Issues']
['4439', 'Sen. Padilla, Alex [D-CA]', 'CA', 'Native Americans']
['4411', 'Sen. Cruz, Ted [R-TX]', 'TX', 'Government Operations and Politics']
['4240', 'Sen. Grassley, Chuck [R-IA]', 'IA', 'Crime and Law Enforcement']
['4120', 'Sen. Reed, Jack [D-RI]', 'RI', 'Health']
['4104', 'Sen. Sinema, Kyrsten [D-AZ]', 'AZ', 'Native Americans']
['3949', 'Sen. Grassley, Chuck [R-IA]', 'IA', 'Crime and Law Enforcement']
['3946', 'Sen. Cornyn, John [R-TX]', 'TX', 'Crime and Law Enforcement']
['3773', 'Sen. Cantwell, Maria [D-WA]', 'WA', 'Native Americans']
['3519', 'Sen. Boozman, John [R-AR]', 'AR', 'Public Lands and Natural Resources']
